Title,Year,Genre,budget,opening weekend,worldwide gross,Rotten Tomatoes score
Saving Private Ryan,1998,"Drama, War",70000000.0,8039160.05,482349603.0,94
Rio,2011,"Animation, Adventure, Comedy",90000000.0,8064446.2,483866772.0,72
The King's Speech,2010,"Biography, Drama, History",15000000.0,8067814.35,484068861.0,94
Bruce Almighty,2003,"Comedy, Fantasy",80000000.0,8076547.9,484592874.0,48
Teenage Mutant Ninja Turtles,2014,"Action, Adventure, Comedy",125000000.0,8083412.566666666,485004754.0,21
Angels & Demons,2009,"Action, Mystery, Thriller",150000000.0,8098846.933333334,485930816.0,37
Mr. & Mrs. Smith,2005,"Action, Comedy, Crime",110000000.0,8121460.766666667,487287646.0,59
Shrek,2001,"Animation, Adventure, Comedy",60000000.0,8140689.466666667,488441368.0,88
Clash of the Titans,2010,"Action, Adventure, Fantasy",125000000.0,8220249.883333334,493214993.0,27
Clash of the Titans,2010,"Action, Adventure, Fantasy",125000000.0,8220249.883333334,493214993.0,27
X-Men: The Last Stand,2006,"Action, Adventure, Sci-Fi",210000000.0,7673921.516666667,460435291.0,57
Cars,2006,"Animation, Adventure, Comedy",120000000.0,7699864.45,461991867.0,74
Pretty Woman,1990,"Comedy, Romance",14000000.0,7723437.8,463406268.0,66
The Matrix,1999,"Action, Sci-Fi",63000000.0,7787045.466666667,467222728.0,88
Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",190000000.0,7789420.766666667,467365246.0,84
Lucy,2014,"Action, Sci-Fi, Thriller",40000000.0,7817642.9,469058574.0,66
The Hangover,2009,Comedy,35000000.0,7822134.65,469328079.0,79
San Andreas,2015,"Action, Adventure, Thriller",110000000.0,7900152.566666666,474009154.0,48
Indiana Jones and the Last Crusade,1989,"Action, Adventure",48000000.0,7902863.433333334,474171806.0,88
Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family",150000000.0,7916146.05,474968763.0,83
Warcraft,2016,"Action, Adventure, Fantasy",160000000.0,7317481.9,439048914.0,29
Terminator Genisys,2015,"Action, Adventure, Sci-Fi",155000000.0,7343392.283333333,440603537.0,26
Mrs. Doubtfire,1993,"Comedy, Drama",25000000.0,7354769.916666667,441286195.0,70
The Exorcist,1973,Horror,8000000.0,7355102.416666667,441306145.0,84
Les Misérables,2012,"Drama, Musical, Romance",61000000.0,7371655.15,442299309.0,69
Alvin and the Chipmunks: The Squeakquel,2009,"Animation, Adventure, Comedy",75000000.0,7385666.75,443140005.0,21
The Mummy Returns,2001,"Action, Adventure, Fantasy",98000000.0,7388015.066666666,443280904.0,47
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",70000000.0,7401667.25,444100035.0,92
Men in Black II,2002,"Action, Adventure, Comedy",140000000.0,7418921.466666667,445135288.0,38
Pearl Harbor,2001,"Action, Drama, History",140000000.0,7487015.75,449220945.0,24
Thor,2011,"Action, Fantasy",150000000.0,7488776.966666667,449326618.0,77
Ocean's Eleven,2001,"Crime, Thriller",85000000.0,7511952.5,450717150.0,83
The Last Samurai,2003,"Action, Drama",140000000.0,7577121.05,454627263.0,66
300,2006,"Action, Drama",65000000.0,7601372.383333334,456082343.0,61
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"Adventure, Family, Fantasy",155000000.0,6928103.616666666,415686217.0,50
The Chronicles of Narnia: Prince Caspian,2008,"Action, Adventure, Family",225000000.0,6994426.133333334,419665568.0,66
Django Unchained,2012,"Drama, Western",100000000.0,7101239.55,426074373.0,87
The Matrix Revolutions,2003,"Action, Sci-Fi",150000000.0,7122405.416666667,427344325.0,34
Rampage,2018,"Action, Adventure, Sci-Fi",0.0,7133803.883333334,428028233.0,51
