Title,Year,Genre,Runtime,Gross,imdbRating,imdbRatingVotes,metascoreRating,rottenRating,metacriticRating
Red Dragon,2002,"Crime, Drama, Thriller",124,209196298,7.2,276267,60,69,60
Tomorrowland,2015,"Action, Adventure, Family",130,209035668,6.4,184518,60,50,60
Me Before You,2016,"Drama, Romance",106,208314186,7.4,258183,51,54,51
Safe House,2012,"Action, Thriller",115,208076205,6.7,225485,52,53,52
S.W.A.T.,2003,"Action, Adventure, Crime",117,207725639,6,149232,45,48,45
The Fast and the Furious,2001,"Action, Crime, Thriller",106,207517509,6.8,389981,58,53,58
Traffic,2000,"Crime, Drama, Thriller",147,207515725,7.6,209447,86,92,86
DC League of Super-Pets,2022,"Animation, Action, Adventure",105,207357117,7.2,64178,56,73,56
Paranormal Activity 3,2011,"Horror, Mystery",83,207039844,5.8,96461,59,66,59
Philadelphia,1993,Drama,125,206678440,7.7,244951,66,81,66
The Conjuring: The Devil Made Me Do It,2021,"Horror, Mystery, Thriller",112,206431050,6.3,118769,53,55,53
Sleepy Hollow,1999,"Fantasy, Horror, Mystery",105,206071502,7.3,365004,65,70,65
The Holiday,2006,"Comedy, Romance",136,205850169,6.9,297243,52,51,52
The Jungle Book,2016,"Adventure, Drama, Family",106,205843612,7.4,280192,77,94,77
Raging Fire,2021,"Action, Adventure, Crime",126,205842393,6.5,5023,72,91,72
London Has Fallen,2016,"Action, Thriller",99,205754447,5.9,161227,28,27,28
The Break-Up,2006,"Comedy, Drama, Romance",106,205668210,5.8,134196,45,34,45
